samples,rep,condition
KC1_ATAC_BAM,1,KC
KC2_ATAC_BAM,2,KC
LSC1_ATAC_BAM,1,LSC
KC3_ATAC_BAM,3,KC
LSC2_ATAC_BAM,2,LSC
LSC3_ATAC_BAM,3,LSC
KC4_ATAC_BAM,4,KC
KC5_ATAC_BAM,5,KC
KC6_ATAC_BAM,6,KC
LSC4_ATAC_BAM,4,LSC
LSC5_ATAC_BAM,5,LSC
LSC6_ATAC_BAM,6,LSC
