sample	assembly	descriptive_name	cell_type
SRR5499071	GRCh38.p13	KC_1	KC
SRR5499067	GRCh38.p13	KC_2	KC
PKC19_RNA_3JQ	GRCh38.p13	KC_3	KC
PKC19_RNA_1	GRCh38.p13	KC_4	KC
PKC19_RNA_2	GRCh38.p13	KC_5	KC

PRIM_RNA_1	GRCh38.p13	LSC_RNA_1	LSC
PRIM_RNA_2	GRCh38.p13	LSC_RNA_2	LSC
GSM4728059	GRCh38.p13	LSC_ouyang_1	LSC
GSM4728060	GRCh38.p13	LSC_ouyang_2	LSC

GSM915329	GRCh38.p13	H1_ESC_1	ESC
GSM958733	GRCh38.p13	H1_ESC_2	ESC



