sample	assembly	descriptive_name	cell_type
Dombi-23_ATAC_1	hg38	KC1	KC
Dombi-23_ATAC_2	hg38	KC2	KC
PKC19_ATAC_1	hg38	KC3	KC
PKC19_ATAC_2	hg38	KC4	KC
PKC19_ATAC_3	hg38	KC5	KC
PRIM_LSC_ATAC_1	hg38	LSC1	LSC
PRIM_LSC_ATAC_2	hg38	LSC2	LSC
PRIM_LSC_ATAC_3	hg38	LSC3	LSC
PRIM_LSC_ATAC_4	hg38	LSC4	LSC
GSM4728093	hg38	LSC5	LSC
GSM4728094	hg38	LSC6	LSC
GSM736582	hg38	H1_ESC1	ESC
GSM2400260	hg38	H9_ESC1	ESC
GSM2400261	hg38	H9_ESC2	ESC
