sample	assembly	descriptive_name	control
Chipseq_DOM_H3K27ac	hg38	DOM_H3K27ac	SRR5499084
SRX663241	hg38	HKC1_H3K27ac	SRR1528616
Chipseq_LSC_PRIM_H3K27ac	hg38	LSC_PRIM_H3K27ac	PRIM_LSC_input
GSM4728063	hg38	LSC_H3K27ac_Ouyang_1	PRIM_LSC_input
GSM4728064	hg38	LSC_H3K27ac_Ouyang_2	PRIM_LSC_input
GSM466732	hg38	ESC1_H3K27ac_1
GSM663427	hg38	ESC1_H3K27ac_2
GSM733718	hg38	ESC1_H3K27ac_3
