"HC7"	"HC6"
"UBXN10-AS1"	0	0
"UBXN10"	0	0
"CAMK2N1"	5	2
"MUL1"	14	22
"FAM43B"	0	0
"CDA"	2	3
"PINK1"	48	33
"PINK1-AS"	1	2
"DDOST"	129	129
"KIF17"	0	0
"SH2D5"	0	0
"HP1BP3"	350	331
"EIF4G3"	43	29
"ECE1"	17	10
"NBPF3"	11	5
"ALPL"	0	0
"RAP1GAP"	2	2
"USP48"	66	63
"LDLRAD2"	0	2
"HSPG2"	35	28
"CDC42"	413	382
"AL031281.2"	0	0
"WNT4"	360	445
"ZBTB40"	9	9
"C1QA"	5	0
"C1QC"	2	0
"C1QB"	0	0
"EPHB2"	1	0
"KDM1A"	77	71
"LUZP1"	98	63
"LINC01355"	3	8
"HNRNPR"	467	471
"ZNF436"	7	7
"ZNF436-AS1"	4	7
"AL109936.2"	1	1
"TCEA3"	107	111
"ASAP3"	7	2
"E2F2"	17	16
"AL021154.1"	0	1
"ID3"	739	540
"MDS2"	0	0
"RPL11"	11694	8550
"ELOA"	50	61
"ELOA-AS1"	15	11
"PITHD1"	274	241
"LYPLA2"	47	44
"GALE"	17	31
"HMGCL"	20	29
"FUCA1"	24	39
"PNRC2"	249	134
"SRSF10"	232	281
"MYOM3"	1	1
"IL22RA1"	2	1
"IFNLR1"	6	8
"GRHL3"	7	0
"STPG1"	17	12
"NIPAL3"	21	32
"RCAN3"	42	32
"AL445686.2"	2	0
"SRRM1"	421	343
"CLIC4"	37	17
"RUNX3"	1	2
"AL031432.1"	0	1
"SYF2"	290	265
"RSRP1"	1050	464
"AL031432.3"	0	4
"RHD"	0	0
"TMEM50A"	283	216
"RHCE"	4	1
"MACO1"	23	28
"LDLRAP1"	44	55
"AL606491.1"	1	1
"MAN1C1"	19	16
"AL031280.1"	2	3
"SELENON"	6	9
"AL020996.1"	1	3
"MTFR1L"	22	25
"AUNIP"	6	7
"AL033528.2"	0	0
"PAQR7"	20	63
"STMN1"	842	960
"PAFAH2"	3	3
"EXTL1"	0	0
"SLC30A2"	2	0
"TRIM63"	1	0
"PDIK1L"	16	32
"FAM110D"	0	1
"ZNF593"	107	96
"CNKSR1"	34	16
"CEP85"	14	13
"SH3BGRL3"	707	460
"UBXN11"	26	11
"CD52"	1	1
"CRYBG2"	3	2
"ZNF683"	0	1
"DHDDS"	16	20
"HMGN2"	887	1313
"RPS6KA1"	43	53
"AL512408.1"	0	1
"ARID1A"	60	65
"PIGV"	19	30
"ZDHHC18"	30	21
"SFN"	6043	2530
"GPN2"	13	16
"GPATCH3"	5	9
"NUDC"	273	247
"KDF1"	32	36
"TRNP1"	25	22
"TENT5B"	250	148
"SLC9A1"	48	13
"WDTC1"	33	22
"TMEM222"	38	54
"SYTL1"	182	162
"MAP3K6"	56	46
"FCN3"	0	0
"CD164L2"	9	13
"WASF2"	272	256
"BX293535.1"	0	0
"AHDC1"	54	26
"FGR"	1	1
"LINC02574"	0	1
"IFI6"	6	10
"FAM76A"	64	88
"STX12"	48	44
"PPP1R8"	22	32
"THEMIS2"	1	0
"RPA2"	93	150
"SMPDL3B"	0	0
"XKR8"	9	11
"EYA3"	17	23
"PTAFR"	1	6
"DNAJC8"	209	172
"ATP5IF1"	777	703
"AL353622.1"	1	2
"AL353622.2"	0	0
"SESN2"	6	6
"MED18"	7	13
"PHACTR4"	72	57
"RCC1"	64	54
"TRNAU1AP"	80	73
"SNHG12"	259	110
"TAF12"	74	74
"RAB42"	1	1
"LINC01715"	5	2
"AL360012.1"	1	0
"GMEB1"	24	32
"YTHDF2"	167	224
"AL009181.1"	0	0
"EPB41"	26	18
"TMEM200B"	7	4
"SRSF4"	144	146
"MECR"	24	29
"PTPRU"	4	3
"MATN1"	1	1
"MATN1-AS1"	5	5
"LAPTM5"	2	0
"SDC3"	10	3
"PUM1"	87	87
"NKAIN1"	1	0
"SNRNP40"	88	79
"ZCCHC17"	80	72
"FABP3"	0	0
"SERINC2"	18	33
"TINAGL1"	1	5
"PEF1"	77	86
"AC114488.3"	0	0
"COL16A1"	70	73
"ADGRB2"	1	3
"SPOCD1"	0	0
"AL136115.2"	1	1
"PTP4A2"	157	188
"KHDRBS1"	353	286
"AL445248.1"	0	0
"TMEM39B"	16	27
"KPNA6"	54	38
"TXLNA"	34	48
"CCDC28B"	12	8
"IQCC"	7	7
"TMEM234"	12	15
"EIF3I"	266	310
"FAM167B"	2	2
"LCK"	0	1
"HDAC1"	119	115
"MARCKSL1"	95	41
"TSSK3"	1	1
"FAM229A"	3	5
"BSDC1"	30	55
"ZBTB8B"	0	0
"ZBTB8A"	13	15
"ZBTB8OS"	63	63
"RBBP4"	81	119
"SYNC"	29	34
"KIAA1522"	93	68
"YARS"	47	48
"S100PBP"	31	18
"FNDC5"	1	0
"HPCA"	0	0
"TMEM54"	152	157
"RNF19B"	43	19
"AK2"	126	115
"AZIN2"	2	4
"TRIM62"	4	2
"AL662907.3"	1	2
"ZNF362"	27	15
"PHC2"	55	68
"ZSCAN20"	0	0
"CSMD2"	0	0
"C1orf94"	0	0
"SMIM12"	47	65
"GJB5"	40	39
"GJB4"	2	0
"GJB3"	119	87
"GJA4"	1	1
"DLGAP3"	0	1
"AC114490.3"	2	1
"AC114490.2"	1	1
"ZMYM6"	14	12
"ZMYM1"	22	23
"AL590434.1"	1	0
"SFPQ"	753	544
"ZMYM4"	34	31
"KIAA0319L"	30	27
"NCDN"	10	5
"AC004865.2"	2	2
"TFAP2E"	3	2
"PSMB2"	258	223
"C1orf216"	15	12
"CLSPN"	46	43
"AL354864.1"	0	0
"AGO4"	46	34
"AGO1"	33	30
"AGO3"	36	35
"ADPRHL2"	34	53
"COL8A2"	5	2
"TRAPPC3"	172	131
"MAP7D1"	72	32
"THRAP3"	220	275
"SH3D21"	4	2
"EVA1B"	8	5
"AL591845.1"	0	2
"STK40"	11	7
"LSM10"	50	32
"OSCP1"	11	8
"MRPS15"	130	136
"CSF3R"	1	0
"AL031430.1"	0	0
"LINC01137"	11	15
"ZC3H12A"	392	72
"MEAF6"	170	146
"SNIP1"	29	24
"DNALI1"	0	1
"GNL2"	93	60
"RSPO1"	1	0
"C1orf109"	30	21
"CDCA8"	31	48
"MANEAL"	8	11
"YRDC"	50	48
"C1orf122"	83	66
"MTF1"	20	6
"INPP5B"	9	7
"SF3A3"	112	113
"FHL3"	40	34
"UTP11"	91	96
"POU3F1"	555	623
"AL139158.2"	14	6
"RRAGC"	130	106
"AL139260.1"	1	3
"MYCBP"	27	31
"RHBDL2"	53	36
"AKIRIN1"	92	62
"NDUFS5"	863	701
"MACF1"	183	109
"PABPC4"	164	154
"HEYL"	0	0
"HPCAL4"	0	0
"PPIE"	62	57
"BMP8B"	1	0
"OXCT2"	0	1
"AL033527.5"	0	2
"TRIT1"	16	30
"MYCL"	34	39
"AL033527.2"	0	0
"MFSD2A"	194	175
"CAP1"	153	141
"PPT1"	69	94
"RLF"	69	39
"AL050341.2"	15	23
"ZMPSTE24"	45	34
"COL9A2"	1	1
"SMAP2"	22	12
"ZFP69B"	0	4
"ZFP69"	4	2
"AL603839.3"	0	0
"EXO5"	5	9
"ZNF684"	17	15
"RIMS3"	2	4
"NFYC-AS1"	1	1
"NFYC"	45	66
"KCNQ4"	1	0
"CITED4"	105	104
"CTPS1"	24	32
"SLFNL1-AS1"	0	0
"SCMH1"	16	20
"FOXO6"	2	1
"EDN2"	9	3
"HIVEP3"	30	35
"FOXJ3"	45	27
"RIMKLA"	0	0
"ZMYND12"	0	1
"PPCS"	165	184
"CCDC30"	4	4
"PPIH"	120	105
