"HC7"	"HC6"
"KLF3"	286	149
"TLR10"	0	1
"TLR1"	0	0
"TLR6"	0	1
"FAM114A1"	42	53
"TMEM156"	0	0
"KLHL5"	6	8
"WDR19"	14	10
"RFC1"	154	162
"KLB"	3	4
"RPL9"	6984	6639
"LIAS"	25	27
"UGDH"	91	23
"UGDH-AS1"	5	2
"SMIM14"	86	99
"AC108471.2"	2	0
"UBE2K"	126	118
"PDS5A"	68	55
"N4BP2"	39	36
"RHOH"	0	1
"LINC02265"	0	0
"RBM47"	19	31
"NSUN7"	12	2
"APBB2"	9	9
"UCHL1"	6	1
"LIMCH1"	61	58
"TMEM33"	34	23
"DCAF4L1"	5	0
"SLC30A9"	30	37
"SHISA3"	0	0
"ATP8A1"	1	0
"AC096734.2"	0	0
"KCTD8"	1	3
"GUF1"	23	23
"GNPDA2"	16	17
"AC096586.1"	0	0
"GABRA2"	0	0
"GABRA4"	0	2
"COMMD8"	96	77
"ATP10D"	42	35
"CORIN"	0	0
"AC107068.1"	2	1
"NFXL1"	13	11
"NIPAL1"	48	33
"CNGA1"	0	1
"TXK"	1	0
"TEC"	4	11
"SLAIN2"	117	75
"FRYL"	57	45
"OCIAD1"	284	282
"OCIAD2"	165	153
"CWH43"	9	14
"DCUN1D4"	17	23
"AC027271.1"	1	1
"LRRC66"	0	0
"SGCB"	27	42
"SPATA18"	11	13
"USP46"	42	24
"USP46-AS1"	2	3
"ERVMER34-1"	2	3
"RASL11B"	2	6
"SCFD2"	13	14
"FIP1L1"	85	92
"LNX1"	3	1
"LNX1-AS1"	0	0
"CHIC2"	49	41
"AC110792.2"	0	0
"GSX2"	0	0
"PDGFRA"	7	0
"KIT"	3	4
"KDR"	0	0
"SRD5A3"	38	33
"AC069200.1"	0	0
"TMEM165"	101	111
"CLOCK"	51	40
"AC024243.1"	1	1
"PDCL2"	0	0
"NMU"	307	212
"EXOC1"	37	55
"CEP135"	22	39
"KIAA1211"	0	0
"AASDH"	46	35
"AC068620.1"	1	0
"PPAT"	38	36
"PAICS"	198	205
"SRP72"	250	232
"ARL9"	44	38
"THEGL"	2	0
"HOPX"	1783	1515
"SPINK2"	5	7
"REST"	160	154
"NOA1"	70	73
"POLR2B"	67	64
"IGFBP7"	122	18
"IGFBP7-AS1"	0	0
"ADGRL3"	4	14
"AC020741.1"	1	0
"EPHA5"	0	0
"AC104806.2"	0	3
"CENPC"	132	134
"STAP1"	0	0
"UBA6"	66	73
"UBA6-AS1"	3	6
"TMPRSS11F"	0	0
"YTHDC1"	106	92
"TMPRSS11E"	0	0
"UGT2B7"	0	0
"UGT2A1"	2	0
"SULT1B1"	0	0
"SULT1E1"	42	45
"CSN1S1"	0	0
"MUC7"	0	0
"JCHAIN"	2	1
"UTP3"	49	70
"AC009570.1"	2	4
"RUFY3"	64	72
"GRSF1"	69	72
"MOB1B"	19	18
"DCK"	54	62
"SLC4A4"	0	0
"ADAMTS3"	7	1
"COX18"	12	11
"ANKRD17"	68	49
"AC053527.1"	0	0
"AFP"	2	5
"AFM"	5	11
"RASSF6"	48	51
"CXCL8"	17	2
"CXCL1"	21	4
"CXCL5"	0	1
"CXCL3"	16	5
"CXCL2"	65	3
"MTHFD2L"	20	18
"AC093677.2"	0	8
"EPGN"	1	1
"EREG"	1	1
"AREG"	1812	115
"BTC"	1	4
"PARM1"	3	2
"LINC02562"	8	12
"RCHY1"	22	23
"THAP6"	30	26
"ODAPH"	0	0
"CDKL2"	1	0
"G3BP2"	112	93
"USO1"	74	65
"AC110615.1"	0	0
"NAAA"	16	22
"SDAD1"	95	92
"CXCL9"	0	0
"ART3"	0	1
"CXCL10"	2	0
"NUP54"	53	78
"SCARB2"	43	54
"FAM47E"	0	1
"STBD1"	0	0
"CCDC158"	0	0
"SHROOM3"	4	3
"SEPT11"	27	24
"CCNI"	641	783
"CCNG2"	51	58
"CNOT6L"	73	78
"MRPL1"	72	61
"FRAS1"	2	4
"ANXA3"	110	73
"LINC01094"	3	0
"AC098818.2"	3	6
"BMP2K"	26	25
"PAQR3"	19	13
"LINC01088"	0	0
"LINC00989"	0	0
"ANTXR2"	12	6
"PRDM8"	1	0
"BMP3"	0	0
"PRKG2"	0	0
"RASGEF1B"	80	52
"AC124016.2"	8	5
"HNRNPD"	435	396
"AC124016.1"	9	11
"HNRNPDL"	529	388
"ENOPH1"	66	91
"TMEM150C"	3	5
"SCD5"	14	21
"SEC31A"	89	85
"THAP9-AS1"	53	50
"THAP9"	7	6
"LIN54"	19	11
"COPS4"	111	78
"PLAC8"	0	0
"COQ2"	29	27
"HPSE"	3	8
"HELQ"	16	19
"MRPS18C"	188	142
"ABRAXAS1"	26	41
"GPAT3"	1	1
"CDS1"	41	29
"WDFY3"	27	21
"ARHGAP24"	39	37
"MAPK10"	1	8
"PTPN13"	120	78
"SLC10A6"	3	5
"AC093827.5"	0	1
"AC093827.4"	5	6
"AFF1"	41	39
"KLHL8"	13	15
"HSD17B13"	25	16
"HSD17B11"	11	12
"NUDT9"	44	53
"AC112250.2"	0	0
"SPARCL1"	4	3
"SPP1"	0	0
"PKD2"	13	19
"ABCG2"	6	5
"PPM1K"	12	6
"HERC6"	7	6
"HERC5"	9	6
"PYURF"	283	278
"AC083829.2"	0	2
"HERC3"	13	27
"NAP1L5"	0	5
"FAM13A-AS1"	2	6
"FAM13A"	25	29
"TIGD2"	6	5
"AC104785.1"	0	1
"GPRIN3"	0	1
"AC097478.1"	0	0
"SNCA"	110	56
"MMRN1"	11	0
"CCSER1"	8	12
"GRID2"	0	0
"SMARCAD1"	53	51
"HPGDS"	0	0
"PDLIM5"	88	42
"BMPR1B"	3	4
"UNC5C"	0	0
"AC106881.1"	0	0
"STPG2"	1	1
"AC019077.1"	0	1
"RAP1GDS1"	48	40
"TSPAN5"	16	24
"AC114811.2"	0	1
"EIF4E"	97	90
"METAP1"	36	39
"AC019131.2"	0	0
"ADH5"	231	354
"AP002026.1"	0	1
"ADH4"	0	0
"ADH6"	0	1
"ADH1A"	0	0
"ADH1B"	9	0
"ADH1C"	0	0
"ADH7"	3	4
"TRMT10A"	28	17
"DAPP1"	30	18
"LAMTOR3"	58	45
"DNAJB14"	75	56
"H2AFZ"	2469	1760
"AC097460.1"	0	0
"DDIT4L"	4	0
"EMCN"	2	0
"PPP3CA"	124	105
"AP001816.1"	24	32
"BANK1"	2	3
"SLC39A8"	10	6
"AC098487.1"	4	10
"AF213884.3"	0	1
"NFKB1"	74	75
"MANBA"	9	7
"UBE2D3"	432	376
"AC018797.2"	5	3
"CISD2"	64	66
"SLC9B1"	1	3
"SLC9B2"	15	9
"BDH2"	85	63
"CENPE"	103	88
"CXXC4"	0	1
"AC004069.1"	2	1
"TET2"	31	45
"PPA2"	148	99
"ARHGEF38"	0	0
"INTS12"	29	39
"GSTCD"	12	15
"NPNT"	5	5
"AC109361.1"	0	1
"TBCK"	10	8
"AIMP1"	155	132
"DKK2"	7	0
"PAPSS1"	118	123
"SGMS2"	10	8
"AC096564.1"	0	0
"CYP2U1"	3	6
"AC096564.2"	0	0
"HADH"	69	107
"LEF1"	2	3
"RPL34-AS1"	0	0
"RPL34"	11277	6504
"OSTC"	222	227
"COL25A1"	0	0
"SEC24B-AS1"	3	3
"SEC24B"	23	26
"MCUB"	72	61
"CASP6"	35	53
"AC004067.1"	1	0
"PLA2G12A"	37	30
"CFI"	0	0
"AC126283.1"	0	0
"GAR1"	116	98
"LRIT3"	1	0
"EGF"	0	0
"ELOVL6"	18	14
"ENPEP"	1	0
"PITX2"	1	0
"FAM241A"	24	10
"AC109347.1"	3	4
"AP1AR"	43	38
"AC109347.2"	0	2
"TIFA"	28	32
"ALPK1"	15	25
"ZGRF1"	9	17
"LARP7"	150	159
"ANK2"	0	2
"AC017007.5"	0	0
"CAMK2D"	21	18
"ARSJ"	2	3
"AC106892.1"	1	0
"TRAM1L1"	1	6
"SNHG8"	720	763
"PRSS12"	13	12
"METTL14"	21	20
"SEC24D"	13	8
"SYNPO2"	33	27
"MYOZ2"	0	0
"USP53"	53	25
"C4orf3"	321	236
"AC093752.3"	0	0
"AC093752.2"	0	0
"PDE5A"	3	3
"MAD2L1"	111	142
"AC108866.1"	2	0
"PRDM5"	6	5
"NDNF"	0	0
"TNIP3"	0	0
"ANXA5"	352	317
"EXOSC9"	68	87
"CCNA2"	101	109
"BBS7"	34	28
"KIAA1109"	57	42
"IL2"	0	0
"BBS12"	3	2
"FGF2"	0	0
"AC021205.3"	1	0
"NUDT6"	19	20
"SPATA5"	13	16
"SPRY1"	186	103
"LINC01091"	5	5
"ANKRD50"	37	34
"FAT4"	0	0
"INTU"	23	15
"HSPA4L"	48	34
"AC093591.2"	0	1
"PLK4"	19	15
"MFSD8"	12	20
"ABHD18"	9	6
"LARP1B"	55	36
"PGRMC2"	126	151
"AC108062.1"	1	0
"JADE1"	41	34
"SCLT1"	35	33
"C4orf33"	33	33
"AC096711.2"	0	0
"PCDH10"	1	0
"PABPC4L"	1	1
"LINC02511"	0	0
"PCDH18"	2	0
"AC116563.1"	0	0
"SLC7A11"	1	1
"NOCT"	4	2
"ELF2"	134	99
"MGARP"	2	7
"NDUFC1"	540	303
"NAA15"	89	77
"AC097376.2"	51	59
"RAB33B"	14	12
"SETD7"	23	10
"AC112236.2"	0	1
"MGST2"	213	179
"MAML3"	18	17
"SCOC"	114	108
"SCOC-AS1"	3	0
"CLGN"	0	0
"ELMOD2"	35	42
"TBC1D9"	1	1
"AC096733.2"	0	2
"RNF150"	1	0
"ZNF330"	51	36
"LINC02432"	1	0
"IL15"	1	5
"INPP4B"	7	8
"AC139720.1"	0	0
"AC104596.1"	1	0
"USP38"	52	19
"GAB1"	8	14
"SMARCA5"	108	107
"FREM3"	0	0
"GYPE"	0	0
"HHIP-AS1"	0	0
"HHIP"	0	0
"ANAPC10"	54	50
"ABCE1"	106	120
"OTUD4"	30	18
"SMAD1"	61	46
"MMAA"	10	7
"ZNF827"	5	8
"LSM6"	147	118
"REELD1"	0	0
"SLC10A7"	4	7
"EDNRA"	4	3
"TMEM184C"	10	13
"PRMT9"	14	7
"ARHGAP10"	40	54
"NR3C2"	5	2
"DCLK2"	3	0
"LRBA"	26	36
"RPS3A"	13451	11530
"SH3D19"	35	23
"AC095055.1"	6	4
"AC104819.3"	0	0
"FAM160A1"	9	6
"AC092611.2"	2	2
"GATB"	16	32
"AC092611.1"	3	4
"AC107074.1"	4	0
"AC097375.1"	1	0
"LINC02273"	0	0
"FBXW7"	431	515
"TMEM154"	126	104
"TIGD4"	2	0
"ARFIP1"	59	54
"FHDC1"	12	4
"TRIM2"	8	5
"MND1"	42	54
"TMEM131L"	15	13
"TLR2"	1	1
"RNF175"	0	0
"SFRP2"	13	0
"AC079298.3"	0	0
"DCHS2"	0	0
"PLRG1"	92	70
"LRAT"	1	0
"MAP9"	1	4
"GUCY1A1"	4	0
"GUCY1B1"	0	0
"CTSO"	9	10
"PDGFC"	67	57
"GLRB"	0	1
"GRIA2"	0	0
"FAM198B"	1	0
"FAM198B-AS1"	0	0
"AC098679.1"	0	0
"TMEM144"	6	6
"RXFP1"	0	0
"C4orf46"	22	20
"ETFDH"	41	73
"PPID"	56	49
"FNIP2"	19	10
"RAPGEF2"	17	8
"NAF1"	29	15
"NPY1R"	2	13
"NPY5R"	0	0
"TMA16"	99	83
"MARCH1"	0	1
"AC093788.1"	0	0
"APELA"	1	0
"TRIM61"	0	0
"FAM218A"	2	2
"TRIM60"	2	0
"TMEM192"	16	20
"KLHL2"	12	6
"GK3P"	0	0
"MSMO1"	33	33
"CPE"	13	8
"TLL1"	3	9
"SPOCK3"	0	0
"DDX60"	20	12
"DDX60L"	5	4
"PALLD"	153	101
"CBR4"	48	43
"SH3RF1"	25	28
"NEK1"	27	20
"CLCN3"	51	35
"HPF1"	160	145
"MFAP3L"	7	4
"AADAT"	4	2
"GALNTL6"	0	0
"AC105285.1"	0	0
"GALNT7"	3	7
"HMGB2"	1131	1094
"AC097534.2"	17	11
"SAP30"	106	70
"SCRG1"	3	3
"HAND2"	0	0
"HAND2-AS1"	0	0
"LINC02268"	0	0
"AC012055.1"	0	0
"FBXO8"	26	26
"CEP44"	39	37
"HPGD"	36	38
"GLRA3"	0	0
"GPM6A"	0	1
"WDR17"	0	0
"SPCS3"	77	56
"VEGFC"	1	2
"NEIL3"	15	12
"AGA"	44	54
"AC078881.1"	0	2
"TENM3"	1	1
"DCTD"	48	66
"WWC2-AS2"	1	5
"WWC2"	7	18
"CDKN2AIP"	203	172
"AC107214.1"	2	0
"ING2"	115	101
"RWDD4"	83	53
"TRAPPC11"	20	20
"STOX2"	16	9
"ENPP6"	0	0
"LINC02363"	0	1
"LINC02362"	0	0
"IRF2"	46	34
"CASP3"	75	48
"PRIMPOL"	31	16
"CENPU"	116	184
"ACSL1"	46	62
"MIR3945HG"	0	0
"SLC25A4"	48	73
"CFAP97"	139	113
"SNX25"	4	5
"LRP2BP"	2	5
"ANKRD37"	273	64
"UFSP2"	87	50
"C4orf47"	5	2
"CCDC110"	10	0
"AC106897.1"	0	0
"PDLIM3"	9	4
"SORBS2"	2	3
"AC093797.1"	1	0
"TLR3"	10	9
"FAM149A"	1	2
"CYP4V2"	2	2
"KLKB1"	0	0
"FAT1"	63	28
"AC108865.2"	1	0
"LINC02515"	0	0
"AC093909.4"	0	0
"LINC01262"	0	0
"FRG1-DT"	0	0
"FRG1"	149	130
"PLEKHG4B"	0	0
"CCDC127"	44	43
"SDHA"	97	115
"PDCD6"	314	254
"AHRR"	3	0
"EXOC3-AS1"	12	28
"EXOC3"	54	54
"SLC9A3"	28	39
"CEP72"	1	14
"TPPP"	29	18
"AC026740.1"	0	0
"ZDHHC11B"	8	0
"ZDHHC11"	0	0
"BRD9"	69	41
"TRIP13"	28	42
"AC116351.2"	0	0
"NKD2"	2	2
"SLC12A7"	3	2
"CLPTM1L"	93	90
"LPCAT1"	18	12
"MRPL36"	131	106
"NDUFS6"	334	257
"IRX4"	108	78
"AC025183.1"	5	1
"AC126768.2"	4	5
"AC091891.2"	0	1
"AC091891.1"	1	2
"IRX2"	238	270
"C5orf38"	36	39
"IRX1"	6	3
"ADAMTS16"	0	0
"ICE1"	65	37
"MED10"	128	153
"UBE2QL1"	0	3
"NSUN2"	29	27
"SRD5A1"	36	51
"TENT4A"	40	27
"ADCY2"	14	21
"C5orf49"	0	1
"MTRR"	6	13
"FASTKD3"	23	18
"MIR4458HG"	22	17
"SEMA5A"	9	7
"SNHG18"	30	41
"FAM173B"	4	13
"AC012640.1"	7	0
"CCT5"	425	364
"AC012640.4"	1	0
"CMBL"	11	10
"AC012640.2"	4	5
"MARCH6"	89	100
"ROPN1L"	0	0
"ANKRD33B"	31	12
"DAP"	92	69
"AC012629.2"	0	0
"CTNND2"	1	0
"DNAH5"	0	0
"TRIO"	19	20
"OTULINL"	16	18
"AC010491.1"	3	3
"OTULIN"	41	31
"ANKH"	56	58
"AC016575.1"	2	0
"FBXL7"	1	1
"ZNF622"	87	64
"RETREG1"	94	173
"MYO10"	67	43
"BASP1"	130	88
"AC026785.2"	0	0
"LINC02223"	0	0
"AC091946.1"	0	0
"CDH12"	0	3
"C5orf17"	0	0
"CDH10"	0	0
"CDH6"	0	0
"DROSHA"	13	14
"C5orf22"	10	10
"PDZD2"	25	26
"AC025178.1"	1	0
"GOLPH3"	41	25
"AC025181.2"	3	8
"MTMR12"	22	7
"ZFR"	77	76
"SUB1"	551	446
"NPR3"	96	47
"AC010343.3"	9	8
"AC034231.1"	0	0
"TARS"	63	46
"ADAMTS12"	0	0
"SLC45A2"	1	0
"AMACR"	1	3
"C1QTNF3"	2	2
"AC025754.2"	0	0
"RAI14"	21	13
"AC026801.2"	0	3
"RAD1"	36	42
"BRIX1"	162	131
"DNAJC21"	176	192
"PRLR"	6	13
"SPEF2"	4	13
"IL7R"	2	1
"UGT3A2"	0	0
"LMBRD2"	8	11
"SKP2"	18	29
"NADK2"	27	25
"RANBP3L"	0	0
"SLC1A3"	31	20
"AC008957.1"	0	0
"AC026741.1"	1	1
"NIPBL"	134	104
"CPLANE1"	20	17
"NUP155"	20	24
"WDR70"	40	37
"GDNF-AS1"	3	4
"GDNF"	4	5
"EGFLAM"	0	0
"LIFR"	15	4
"LIFR-AS1"	3	8
"OSMR-AS1"	5	2
"OSMR"	17	7
"RICTOR"	33	47
"FYB1"	1	1
"C9"	0	0
"DAB2"	10	1
"LINC02104"	0	0
"TTC33"	15	11
"PTGER4"	59	11
"PRKAA1"	26	36
"RPL37"	9401	4671
"CARD6"	1	6
"C7"	4	0
"C6"	0	0
"PLCXD3"	1	0
"OXCT1"	57	66
"C5orf51"	12	12
"FBXO4"	33	30
"GHR"	10	20
"CCDC152"	3	8
"SELENOP"	404	445
"AC008875.1"	0	2
"AC025171.3"	0	0
"AC025171.5"	0	0
"ANXA2R"	1	0
"AC025171.2"	0	0
"AC025171.4"	2	0
"ZNF131"	77	73
"NIM1K"	0	0
"AC114947.2"	0	0
"HMGCS1"	153	81
"CCL28"	25	27
"TMEM267"	15	16
"C5orf34"	6	15
"AC114956.2"	1	0
"PAIP1"	135	110
"NNT-AS1"	21	57
"NNT"	30	50
"FGF10"	0	0
"FGF10-AS1"	0	0
"MRPS30-DT"	1	1
"MRPS30"	66	65
"AC093297.2"	2	2
"EMB"	21	20
"PARP8"	19	14
"ISL1"	7	5
"ITGA1"	0	0
"PELO"	33	40
"ITGA2"	237	169
"AC008966.2"	1	1
"MOCS2"	50	67
"AC008966.1"	0	4
"FST"	12	15
"NDUFS4"	214	195
"AC025175.1"	0	1
"ARL15"	9	11
"HSPB3"	3	8
"SNX18"	21	17
"ESM1"	0	0
"GZMK"	0	0
"GZMA"	1	0
"CDC20B"	0	0
"GPX8"	17	13
"CCNO"	6	16
"DHX29"	100	103
"MTREX"	43	32
"PLPP1"	21	7
"SLC38A9"	7	15
"IL31RA"	1	1
"IL6ST"	81	56
"AC008914.1"	0	1
"AC016596.1"	4	2
"ANKRD55"	1	1
"LINC01948"	0	0
"MAP3K1"	49	47
"SETD9"	25	26
"MIER3"	4	5
"AC008937.3"	0	1
"GPBP1"	221	185
"ACTBL2"	0	0
"PLK2"	994	253
"GAPT"	0	0
"RAB3C"	0	0
"PDE4D"	22	6
"PART1"	10	16
"DEPDC1B"	36	48
"ELOVL7"	3	1
"AC104113.1"	0	0
"ERCC8"	10	8
"NDUFAF2"	163	89
"SMIM15"	92	95
"ZSWIM6"	6	7
"KIF2A"	81	85
"DIMT1"	59	54
"IPO11"	10	14
"LRRC70"	0	0
"RNF180"	18	9
"RGS7BP"	0	0
"SREK1IP1"	156	99
"CWC27"	39	58
"AC092354.2"	1	0
"AC092354.1"	0	0
"ADAMTS6"	2	0
"CENPK"	73	99
"PPWD1"	43	34
"TRIM23"	14	21
"TRAPPC13"	10	17
"SHLD3"	2	7
"SGTB"	9	7
"NLN"	22	12
"AC010359.1"	1	0
"ERBIN"	76	73
"SREK1"	102	128
"MAST4"	76	64
"MAST4-AS1"	7	3
"CD180"	0	0
"AC112206.2"	0	0
"LINC02242"	0	0
"PIK3R1"	115	186
"AC010280.2"	0	0
"AC010280.1"	0	0
"AC010273.2"	1	0
"SLC30A5"	59	44
"AC010273.1"	0	2
"CCNB1"	227	225
"CENPH"	92	114
"MRPS36"	149	101
"CDK7"	47	37
"CCDC125"	15	14
"AK6"	74	81
"TAF9"	170	153
"RAD17"	32	33
"MARVELD2"	24	31
"OCLN"	3	6
"GTF2H2C"	9	12
"SERF1B"	1	0
"SMN2"	0	0
"AC146944.4"	3	1
"SERF1A"	1	1
"SMN1"	6	6
"NAIP"	13	13
"GTF2H2"	9	19
"LINC02197"	0	0
"BDP1"	146	166
"MCCC2"	39	40
"MAP1B"	41	24
"MRPS27"	58	70
"PTCD2"	8	8
"ZNF366"	0	0
"TNPO1"	40	48
"AC008972.1"	1	0
"AC008972.2"	0	0
"FCHO2"	39	25
"TMEM171"	1	1
"AC116345.1"	0	0
"FOXD1"	6	0
"AC099522.2"	5	3
"BTF3"	3220	2775
"ANKRA2"	22	32
"UTP15"	31	22
"ARHGEF28"	47	42
"ENC1"	8	9
"HEXB"	56	66
"GFM2"	24	28
"NSA2"	618	499
"FAM169A"	1	5
"GCNT4"	1	0
"LINC01336"	0	0
"ANKRD31"	1	2
"HMGCR"	31	21
"COL4A3BP"	66	55
"AC008897.3"	0	0
"POLK"	27	27
"AC010245.1"	0	0
"AC010245.2"	1	2
"ANKDD1B"	0	1
"POC5"	22	18
"IQGAP2"	0	0
"F2RL2"	0	0
"F2R"	46	31
"F2RL1"	86	32
"S100Z"	0	1
"CRHBP"	0	0
"AGGF1"	7	16
"ZBED3"	3	9
"ZBED3-AS1"	1	0
"PDE8B"	0	0
"WDR41"	36	39
"TBCA"	430	332
"AP3B1"	72	54
"SCAMP1-AS1"	10	11
"SCAMP1"	42	36
"LHFPL2"	2	1
"ARSB"	0	0
"DMGDH"	1	0
"BHMT2"	0	0
"BHMT"	0	1
"JMY"	32	23
"HOMER1"	26	18
"TENT2"	33	39
"CMYA5"	5	11
"MTX3"	12	9
"THBS4"	0	0
"AC012636.1"	0	0
"SERINC5"	53	40
"ZFYVE16"	31	17
"AC008771.1"	9	10
"FAM151B"	2	3
"DHFR"	40	49
"MSH3"	35	42
"RASGRF2"	0	1
"CKMT2-AS1"	14	29
"CKMT2"	2	2
"ZCCHC9"	31	31
"SSBP2"	112	146
"ATG10"	33	41
"RPS23"	12239	8164
"ATP6AP1L"	4	6
"AC104118.1"	1	0
"TMEM167A"	80	66
"XRCC4"	22	30
"VCAN"	17	0
"HAPLN1"	7	0
"EDIL3"	17	18
"AC113383.1"	1	10
"COX7C"	1017	705
"RASA1"	30	14
"CCNH"	62	64
"AC018754.1"	0	0
"TMEM161B"	12	17
"TMEM161B-AS1"	21	30
"MEF2C"	2	1
"MEF2C-AS1"	0	0
"CETN3"	37	38
"MBLAC2"	16	15
"POLR3G"	16	12
"LYSMD3"	22	14
"ADGRV1"	30	24
"LUCAT1"	1	0
"ARRDC3"	48	107
"ARRDC3-AS1"	1	1
"NR2F1-AS1"	0	0
"NR2F1"	0	0
"FAM172A"	34	37
"POU5F2"	3	4
"KIAA0825"	4	3
"SLF1"	37	39
"MCTP1"	0	0
"FAM81B"	2	0
"TTC37"	104	87
"ARSK"	10	8
"GPR150"	0	1
"RFESD"	28	23
"SPATA9"	2	1
"RHOBTB3"	27	20
"GLRX"	18	14
"LINC01554"	0	0
"ELL2"	50	21
"MIR583HG"	1	0
"CAST"	625	458
"ERAP1"	42	45
"AC008906.1"	2	3
"AC008906.2"	0	1
"AC009126.1"	2	4
"ERAP2"	34	35
"LNPEP"	79	69
"RIOK2"	40	36
"RGMB"	22	35
"RGMB-AS1"	2	3
"AC008522.1"	2	1
"CHD1"	170	87
"AC021086.1"	5	1
"FAM174A"	96	79
"ST8SIA4"	4	2
"SLCO4C1"	0	0
"PAM"	13	7
"GIN1"	12	18
"PPIP5K2"	50	33
"C5orf30"	14	9
"NUDT12"	18	28
"LINC01950"	0	0
"EFNA5"	38	54
"FBXL17"	23	26
"LINC01023"	5	7
"FER"	52	37
"AC008467.1"	1	0
"PJA2"	103	101
"MAN2A1"	13	12
"TMEM232"	0	2
"SLC25A46"	27	22
"TSLP"	6	12
"WDR36"	56	30
"CAMK4"	0	2
"STARD4"	2	2
"STARD4-AS1"	5	5
"NREP"	26	23
"EPB41L4A"	15	17
"EPB41L4A-AS1"	235	248
"EPB41L4A-DT"	3	2
"APC"	35	40
"SRP19"	102	112
"REEP5"	311	209
"DCP2"	51	58
"MCC"	35	38
"AC079465.1"	0	0
"YTHDC2"	49	57
"KCNN2"	0	0
"TRIM36"	3	1
"PGGT1B"	30	38
"AC008494.3"	0	0
"CCDC112"	52	44
"FEM1C"	20	11
"TICAM2"	0	0
"AC010226.1"	2	2
"TMED7"	51	53
"AC008549.2"	5	9
"CDO1"	7	0
"ATG12"	63	55
"AP3S1"	166	137
"LVRN"	1	0
"AC034236.2"	1	2
"COMMD10"	23	50
"SEMA6A"	2	3
"SEMA6A-AS1"	0	0
"LINC00992"	2	10
"LINC02147"	0	0
"DTWD2"	10	12
"AC008629.1"	0	1
"DMXL1"	40	35
"TNFAIP8"	99	113
"HSD17B4"	102	125
"PRR16"	0	0
"AC114284.1"	0	0
"SRFBP1"	58	77
"LOX"	5	0
"AC113349.2"	0	0
"SNCAIP"	3	0
"AC022101.1"	0	0
"SNX2"	132	151
"SNX24"	28	32
"PPIC"	55	59
"AC106786.1"	0	0
"PRDM6"	0	0
"CEP120"	9	6
"CSNK1G3"	44	49
"LINC01170"	1	0
"ZNF608"	2	1
"GRAMD2B"	30	27
"ALDH7A1"	121	185
"PHAX"	89	89
"LMNB1"	98	136
"MARCH3"	4	2
"C5orf63"	6	9
"AC011416.3"	1	0
"MEGF10"	0	0
"PRRC1"	46	29
"CCDC192"	1	1
"LINC01184"	60	43
"SLC12A2"	38	21
"FBN2"	0	1
"SLC27A6"	1	17
"ISOC1"	112	128
"CHSY3"	1	0
"HINT1"	3078	2603
"LYRM7"	48	32
"CDC42SE2"	43	63
"RAPGEF6"	9	7
"FNIP1"	54	51
"MEIKIN"	0	0
"ACSL6"	0	0
"IL3"	0	0
"CSF2"	0	1
"P4HA2"	65	80
"PDLIM4"	238	98
"SLC22A4"	0	0
"SLC22A5"	19	21
"AC116366.3"	0	1
"AC116366.1"	30	3
"IRF1"	614	167
"RAD50"	19	10
"IL13"	2	0
"IL4"	0	0
"KIF3A"	34	40
"CCNI2"	0	0
"SEPT8"	10	13
"SHROOM1"	0	4
"GDF9"	0	1
"UQCRQ"	529	334
"LEAP2"	15	9
"AFF4"	81	58
"ZCCHC10"	47	50
"HSPA4"	103	102
"AC113410.2"	0	0
"FSTL4"	14	15
"C5orf15"	70	76
"VDAC1"	411	365
"AC008608.2"	5	5
"TCF7"	58	41
"SKP1"	865	643
"PPP2CA"	150	87
"AC104109.2"	0	1
"CDKL3"	4	4
"UBE2B"	331	242
"AC109454.2"	0	3
"CDKN2AIPNL"	35	45
"LINC01843"	0	0
"JADE2"	9	8
"SAR1B"	44	63
"SEC24A"	16	12
"CAMLG"	163	160
"DDX46"	269	188
"C5orf24"	68	59
"TXNDC15"	68	64
"PCBD2"	8	14
"CATSPER3"	0	1
"PITX1"	3	4
"H2AFY"	306	312
"AC026691.1"	0	2
"TIFAB"	0	0
"AC034206.1"	1	0
"CXCL14"	9251	7450
"SLC25A48"	5	1
"TGFBI"	312	371
"SMAD5-AS1"	20	46
"SMAD5"	102	81
"SPOCK1"	0	0
"KLHL3"	6	7
"HNRNPA0"	494	392
"AC106791.1"	1	0
"PKD2L2"	0	1
"FAM13B"	24	18
"NME5"	0	3
"BRD8"	43	45
"KIF20A"	19	22
"CDC23"	19	17
"GFRA3"	0	0
"CDC25C"	12	10
"FAM53C"	79	40
"KDM3B"	22	21
"REEP2"	1	5
"EGR1"	949	289
"ETF1"	154	129
"HSPA9"	261	253
"CTNNA1"	196	192
"AC034243.1"	1	3
"LRRTM2"	0	0
"SIL1"	37	45
"AC011405.1"	0	0
"SNHG4"	0	0
"MATR3.1"	5	8
"PAIP2"	107	112
"AC135457.1"	0	0
"SLC23A1"	0	0
"MZB1"	0	0
"PROB1"	1	2
"SPATA24"	6	1
"DNAJC18"	4	1
"ECSCR"	1	0
"SMIM33"	0	0
"TMEM173"	16	9
"UBE2D2"	254	293
"CXXC5"	7	6
"NRG2"	33	37
"MALINC1"	4	5
"PURA"	142	133
"IGIP"	2	4
"CYSTM1"	46	22
"PFDN1"	102	96
"HBEGF"	123	26
"ANKHD1"	18	15
"ANKHD1-EIF4EBP3"	4	0
"SRA1"	73	75
"EIF4EBP3"	0	2
"APBB3"	4	5
