TGFBI
KRT3
KRT12
TACSTD2
CHST6
DCN
PIKFYVE
KERA
LUM
EPYC
STS
COL8A2
TCF4
ZEB1
SLC4A11
OVOL2
CYP4V2
ZNF469
PRDM5
GJA8,
CTNS
COL7A1
MMP1
PLEC1
GLA
GSN
IKBKAP
LCAT
MBTPS2
CHRDL1
GJB2
FBN1
LTBP2
MCOLN1
IDUA
GALNS
GJB1
ARSB
GUSB
PITX3
FOXE3
FOXC1
PITX2
PAX6
CYP1B1
PXDN
CPAMD8
DOP1B
B3CLGT
CDH2
HCCS
JAG1
NOTCH2
PITX2
TAT
STS
XPA
XPC
POLH
PEX1
PEX2
PEX3
PEX5
PEX6
PEX10
PEX12
PEX13
PEX14
PEX16
ELP4
PTCH1
PTCH2
SUFU
NOD2
FOXL2
TP63
ITPR1
KMT2D
KDM6A
NCAPG2
FGFR3
FGF10
FGFR2
FOXC2
ESCO2
PIK3R1
POMT2
TWIST2
VPS13B
TERC
TERT
TINF2
RTEL1
ACD
NOLA3
NOLA2
WRAP53
PARN
DKC1
CTC1
HPS1
AP3B1
HPS3
HPS4
HPS5
HPS6
DTNBP1
BLOC1S3
BLOCS6
AP3D1
TGM1
ALOX12B
ALOXE3
ABCA12
CYP4F22
NIPAL4
ARCI7
LIPN
CERS3
PNPLA1
ST14
CASP14
SDR9C7
SULT2B1
UBE3B
MVK
TYR
OCA2
TYRP1
SLC45A2
MC1R
SLC24A5
ABCA1
