filename	genotype	type
lako1	LSC	pseudobulk
lako2	LSC	pseudobulk
lako3	LSC	pseudobulk
lako4	LSC	pseudobulk
#lako5	LSC	pseudobulk
lako6	LSC	pseudobulk
#lako7	LSC	pseudobulk
#lako8	LSC	pseudobulk
HC7	KC	pseudobulk
HC6	KC	pseudobulk
